userName,content,score,date,thumbsUpCount
U10703,bagus,4,2022-02-07T03:55:00,8
U6325,bagus,4,2022-01-22T23:05:00,3
U53278,fitur payah,1,2022-07-04T23:50:00,2
U6953,tidak lambat,4,2022-01-25T03:25:00,14
U88712,satu sisi bagus satu sisi jelek,3,2022-11-05T00:40:00,3
U66623,sangat lambat,2,2022-08-20T07:55:00,16
U84012,cepat tapi tampilannya jelek,3,2022-10-19T17:00:00,0
U43882,kecewa berat,1,2022-06-02T08:50:00,17
U68034,lemot,2,2022-08-25T05:30:00,17
U13926,sangat puas,4,2022-02-18T08:30:00,15
U15555,aplikasi terbaik yang pernah saya pakai,4,2022-02-24T00:15:00,2
U71816,jelek sekali,2,2022-09-07T08:40:00,8
U33790,aplikasi bagus banget,4,2022-04-28T07:50:00,7
U73368,jelek sekali,1,2022-09-12T18:00:00,11
U61665,payah banget,1,2022-08-03T02:45:00,22
U69055,macet,1,2022-08-28T18:35:00,1
U71732,sering gagal,1,2022-09-07T01:40:00,18
U76379,parah banget,2,2022-09-23T04:55:00,8
U41984,sangat lambat,2,2022-05-26T18:40:00,15
U50762,selalu error,1,2022-06-26T06:10:00,15
U23177,aplikasi keren,4,2022-03-22T11:25:00,5
U99541,tidak bagus namun lancar di pake,3,2022-12-12T15:05:00,0
U34180,gak lemot,5,2022-04-29T16:20:00,9
U35617,lancar,4,2022-05-04T16:05:00,4
U25139,cepat sekali,4,2022-03-29T06:55:00,0
U19798,keren sekali,5,2022-03-10T17:50:00,3
U1749,tidak jelek,4,2022-01-07T01:45:00,11
U11221,sangat bagus,4,2022-02-08T23:05:00,13
U49264,tampilannya buruk,2,2022-06-21T01:20:00,2
U2119,sangat bagus,4,2022-01-08T08:35:00,15
U59679,buruk banget,2,2022-07-27T05:15:00,18
U22382,aplikasi bagus,4,2022-03-19T17:10:00,12
U88698,standar seperti aplikasi lainnya,3,2022-11-04T23:30:00,4
U12647,tanpa masalah,4,2022-02-13T21:55:00,1
U95522,kurang memuaskan tapi masih bisa dipakai,3,2022-11-28T16:10:00,0
U96298,aplikasi ya gitu deh,3,2022-12-01T08:50:00,4
U65367,sama sekali tidak bagus,2,2022-08-15T23:15:00,13
U25034,luar biasa aplikasinya mantap sekali,5,2022-03-28T22:10:00,0
U75786,sangat lambat,2,2022-09-21T03:30:00,2
U73362,sering error,1,2022-09-12T17:30:00,20
U91212,lambat tapi tampilannya keren,3,2022-11-13T17:00:00,3
U29478,aplikasi terbaik yang pernah saya pakai,4,2022-04-13T08:30:00,11
U62039,kurang puas,1,2022-08-04T09:55:00,6
U61609,jelek sekali,1,2022-08-02T22:05:00,18
U98651,lumayan lah,3,2022-12-09T12:55:00,3
U41797,aplikasi parah,2,2022-05-26T03:05:00,16
U6864,bagus banget aplikasinya lancar,5,2022-01-24T20:00:00,8
U799,tidak mengecewakan,4,2022-01-03T18:35:00,0
U76607,tampilannya jelek fiturnya kurang,2,2022-09-23T23:55:00,1
U19734,pelayanan memuaskan,5,2022-03-10T12:30:00,5
U63094,fitur buruk,2,2022-08-08T01:50:00,23
U70204,aplikasi sampah,2,2022-09-01T18:20:00,10
U96074,cukup oke tapi bisa ditingkatkan lagi,3,2022-11-30T14:10:00,4
U43098,kecewa,2,2022-05-30T15:30:00,3
U48980,sampah,2,2022-06-20T01:40:00,5
U17966,fitur mantap,4,2022-03-04T09:10:00,13
