userName,score,at,content
Alfian Rafi nugraha,1,2/27/2026 7:11,"aneh banget, sinyal bagus , buat YouTube an lancar, buka mbanking BNI lancar , update aplikasi lancar, cuma buka aplikasi Muamalat DIN yg bilang disuruh periksa koneksi sinyal, yg lemot server anda , yg disalahin koneksi internet nya , aneh banget."
Naufal Al Atsary,1,2/2/2026 22:28,"sering bgt error tp masih hrs bertahan setahun buat gajian, pernah jg bikin malu2in mau bayar belanjaan, koneksi bagus tp pas log in ttp ada pemberithuan ""periksa kembali koneksi anda"" udh di update selalu ke versi terbaru jg kok, make ni aplikasi"
Syaf Syafruddin,1,2/25/2026 15:00,"Aplikasi sangat susah dibuka, log in lama banget. kadang ga bisa log in sama skali. ga bisa ditunggu buat bayar sesuatu. Mohon diperbaiki agar lebih cepat login dan digunakan dgn cepat."
Terpuk Gayo,1,3/3/2026 16:21,"sangat buruk, ahir2 ini login aplikasi selalu notif priksa koneksi, sedangkan apk lain lancar2 saja. mau lihat saldo aja gak bisa. 🤨🤨🤨"
Bagus Prakoso,1,2/19/2026 3:24,sekarang aplikasi mobile banking muamalat jadi sulit di install updatenya...mau login muncul pemberitahuan periksa koneksi anda padahal kuota internet masih banyak dan dipakai nonton you tube juga masih lancar
Rizki putra,1,2/27/2026 9:23,"bank apa ini transaksi error,login ke dalam bank lelet kali jangan pakai bank ini lagi pindah bg,, harus update terus sudah update tapi tetap gak ada perubahan masih lelet dan error"
Siti fitriati,1,2/20/2026 9:30,"jelek banget, sesusah itu masuknya, padahal koneksi bagus, udah uninstall eh malah gabisa masuk lagi, mana cs nya juga lemot parah si pelayanan nya"
ULAS 26,2,3/2/2026 22:38,Saya kecewa dengan kinerja Aplikasi ini. buat sy malu. saat mau bayar malah aplikasinya eror. dan sering terjadi eror saat akan digunakan. saya berharap pihak terkait segera dapat memperbaiki kinerja aplikasi ini
Wozali Ali,2,2/9/2026 13:47,"semestinya untuk verifikasi data tidak mesti menunggu 3x24 jam.untuk pendaftaran Mbanking terlalu lama kalo menunggu verifikasi 3x24 jam,akan jauh ketinggalan dgn Bank lainnya yg hanya memmbutihkan waktu tidak kurang dari 5 menit"
Dafffa,1,1/31/2026 16:27,apalah orang saya hanya hapus aplikasi tapi malah ga bisa masuk ke akun lagi tulisannya masih tertaut dengan perangkat lain .. padahal yg buat login satu hp doang emang aplikasi aneh .. buat TF ke akun dana / gopay juga ga pernah bisa
Nink Chieh,5,1/3/2026 21:06,"MasyaAllah tabarakallah, aplikasi mbanking yang pernah saya donlot sejauh ini baru Muamalat Din yang fiturnya lengkap dan saya sangat puas memakainya. Saran untuk fitur sedekah subuh kalau boleh fiturnya ditampilkan juga dalam deretan fitur bagian dalam agar ketika saya kehilangan akses karena jaringan error bisa di cari kembali di dalam aplikasi."
Sara Hekmatyara,1,1/23/2026 23:35,"ATM cbang jababeka cikarang error. Kmrin sy ambil uang, -100rbu. hri ini ambil, uang blum kluar smua tp tiba² slesai sndiri, akhirnya uang yg kluar -450ribu. Dan trnyata stlh di hitung smua yg ditangan -200ribu. Kseluruhn dlm 2 hri sy khilangan 750rbu. Mau komplain bingung kmna, krna tarik tunainy mlam dan bank sdh ttup update: stlh nunggu lbh dr 10hr krja sesuai janji CS, ga ada kbar lgi dr CS ats errornya mesin ATM jababeka, pdhal klo ga prcaya bs cek cctv. smpe detik ini sy was² ambil disitu"
Abu Bakar,2,1/31/2026 8:18,"dari 3 hari kemarin setiap mau login periksa koneksi, padahal sudah pindah dari data ke WiFi, itupun sama akhirnya saya uninstall dan kesulitan masuk kembali"
Nam Nam,1,1/12/2026 15:13,"1. gagal ngisi password 3x gara inetz disamakan dengan salah password saya gagal masukin password cuma gara2 internet lemot dan dianggap salah password gmana mksudnya? 3x salah beda sama 3x gagal gara2 internet. ini sudah ke 3x nya saya kena masalah seperti ini, masa ga dimprove di beberapa tahun kebelakang 2. buka manual blokir lupa pin, trus recovery pin malah disuruh ngisi pin lagi.. what?....kan lupa loh ya"
